Ea,Eb,Ec,Cond.
3903010751.10645,3420487111.9908,525011608.66577,Normal
3903010744.78224,3420487078.99642,525011628.019164,Normal
3903010738.42379,3420487045.07254,525011647.924261,Normal
3903010732.05859,3420487010.96465,525011667.938579,Normal
3903010794.85094,3420487328.80443,525011481.588936,Normal
3903010788.66588,3420487299.59212,525011498.697443,Normal
3903010782.4527,3420487269.61678,525011516.258858,Normal
3903010776.22441,3420487239.23183,525011534.063397,Normal
3903010769.97411,3420487208.2493,525011552.222629,Normal
3903010763.7025,3420487176.68809,525011570.725339,Normal
3903010757.41512,3420487144.6988,525011589.482144,Normal
3903010751.10002,3420487111.95732,525011608.685413,Normal
3903010744.77558,3420487078.9617,525011628.039535,Normal
3903010738.41686,3420487045.03548,525011647.946008,Normal
3903010732.05136,3420487010.92518,525011667.961748,Normal
3903010794.84631,3420487328.78267,525011481.601676,Normal
3903010788.66098,3420487299.56849,525011498.71129,Normal
3903010782.44755,3420487269.59202,525011516.273365,Normal
3903010776.21901,3420487239.20507,525011534.079079,Normal
3903010769.96848,3420487208.22138,525011552.238993,Normal
3903010763.6966,3420487176.65806,525011570.742947,Normal
3903010757.40898,3420487144.66757,525011589.500456,Normal
3903010751.09361,3420487111.92387,525011608.705032,Normal
3903010744.76893,3420487078.92699,525011628.059883,Normal
3903010738.40993,3420487044.99845,525011647.967733,Normal
3903010732.04415,3420487010.88575,525011667.984893,Normal
3903010794.84167,3420487328.76095,525011481.6144,Normal
3903010788.65609,3420487299.54488,525011498.72512,Normal
3903010782.44243,3420487269.56728,525011516.287855,Normal
3903010776.21362,3420487239.17834,525011534.094744,Normal
3903010769.96286,3420487208.19349,525011552.255339,Normal
3903010763.69069,3420487176.62807,525011570.760533,Normal
3903010757.40285,3420487144.63637,525011589.518747,Normal
3903010751.08721,3420487111.89046,525011608.724633,Normal
3903010744.76229,3420487078.89235,525011628.080209,Normal
3903010738.40301,3420487044.96147,525011647.989434,Normal
3903010732.03695,3420487010.84636,525011668.008015,Normal
3903010794.83704,3420487328.73924,525011481.62711,Normal
3903010788.6512,3420487299.5213,525011498.738937,Normal
3903010782.4373,3420487269.54258,525011516.30233,Normal
3903010776.20823,3420487239.15164,525011534.110391,Normal
3903010769.95723,3420487208.16563,525011552.27167,Normal
3903010763.68481,3420487176.59811,525011570.778101,Normal
3903010757.39672,3420487144.60521,525011589.537019,Normal
3903010751.0808,3420487111.85708,525011608.744211,Normal
3903010744.75565,3420487078.85773,525011628.100513,Normal
3903010738.39609,3420487044.92452,525011648.011114,Normal
3903010732.02976,3420487010.80701,525011668.031111,Normal
3903010794.83242,3420487328.71755,525011481.639806,Normal
3903010788.64632,3420487299.49774,525011498.752738,Normal
3903010782.4322,3420487269.5179,525011516.31679,Normal
3903010776.20285,3420487239.12498,525011534.126021,Normal
3903010769.95162,3420487208.1378,525011552.287979,Normal
3903010763.67894,3420487176.56818,525011570.795651,Normal
3903010757.39059,3420487144.57409,525011589.55527,Normal
3903010751.07442,3420487111.82374,525011608.763767,Normal
3903010744.74901,3420487078.82315,525011628.120795,Normal
3903010738.38919,3420487044.88761,525011648.032767,Normal
3903010732.02257,3420487010.76771,525011668.054181,Normal
3903010794.8278,3420487328.69589,525011481.65249,Normal
3903010788.64144,3420487299.47421,525011498.766525,Normal
3903010782.42708,3420487269.49324,525011516.331233,Normal
3903010776.19748,3420487239.09834,525011534.141636,Normal
3903010769.94601,3420487208.11,525011552.304273,Normal
3903010763.67305,3420487176.53828,525011570.813182,Normal
3903010757.38448,3420487144.54299,525011589.573503,Normal
3903010751.06803,3420487111.79043,525011608.783306,Normal
3903010744.74239,3420487078.78861,525011628.141057,Normal
3903010738.38229,3420487044.85076,525011648.054398,Normal
3903010732.01539,3420487010.72844,525011668.077226,Normal
3903010794.82318,3420487328.67426,525011481.66516,Normal
3903010788.63657,3420487299.4507,525011498.780296,Normal
3903010782.42197,3420487269.46862,525011516.345659,Normal
3903010776.19211,3420487239.07173,525011534.157233,Normal
3903010769.9404,3420487208.08223,525011552.320549,Normal
